project,releaseId,methodPath,loc,cyclomaticComplexity,cognitiveComplexity,statements,nestingDepth,parameterCount,codeSmells,bugginess
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/InvalidCookieException,3,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/getMessage,32,0,0,0,2,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/BookieException,3,0,0,0,0,2,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/getCode,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/setCode,3,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/BookieException,3,0,0,0,0,2,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/create,14,0,0,0,1,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/BookieException,3,0,0,0,0,1,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/BookieIllegalOpException,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java/LedgerFencedException,3,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieMXBean.java/getQueueLength,1,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java/MetaFormatCmd,5,0,0,0,0,0,0,no
bookkeeper,release-4.2.0,bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieShell.java/runCmd,7,0,0,0,0,1,0,no
